title,bag_of_words
Desert Winds (1995),drama fantasy romance spatial awareness wind tunnel wind tunnel  
Fall Time (1995),drama bank robbery kidnapping hostage 1950s  
"Fear, The (1995)",horror experiment psychology fear student  
Frank and Ollie (1995),documentary character names as title three word title forenames as title disney  
Girl in the Cadillac (1995),drama bank money robbery bus station  
Homage (1995),drama obsessive love actress mother daughter relationship widow  
Mirage (1995),action thriller multiple personality disorder dissociative identity disorder salton sea multiple personality  
Open Season (1996),comedy nude wears eyeglasses woman wears eyeglasses television ratings written and directed by cast member  
Two Crimes (Dos crímenes) (1995),comedy crime drama murder adultery family relationships mexican  
Brother Minister: The Assassination of Malcolm X (1994),documentary independent film  
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),action fantasy sex scene immortal sorcerer sword and sorcery  
Federal Hill (1994),drama providence rhode island drugs rage youth  
In the Mouth of Madness (1995),horror thriller fantasy becomes reality h.p. lovecraft madness parallel dimension  
8 Seconds (1994),drama beer champagne smile bull rider  
Above the Rim (1994),crime drama basketball high school african american hood  
Addams Family Values (1993),children comedy fantasy baby boy baby brother brother brother relationship husband wife relationship  
Martin Lawrence: You So Crazy (1994),comedy documentary stand up stand up comedy live audience spoof  
"Age of Innocence, The (1993)",drama catholic f rated period drama new york  
Airheads (1994),comedy water pistol air duct swat team gun  
"Air Up There, The (1994)",comedy basketball college basketball africa athletic scout  
Another Stakeout (1993),comedy thriller stakeout witness surveillance panties  
Bad Girls (1994),western prostitute prostitution brothel western town  
Barcelona (1994),comedy romance u.s. navy marketing black leather underwear black leather  
Being Human (1993),drama reincarnation existentialism optimism elopement  
"Beverly Hillbillies, The (1993)",comedy fish out of water redneck con artist arkansas  
Beverly Hills Cop III (1994),action comedy crime thriller woman with a gun murder of a police officer shooting a police officer detroit  
Black Beauty (1994),adventure children drama horse movie character name as title colt 1870s  
Blink (1994),thriller woman suspense north american giallo giallo  
Blown Away (1994),action thriller bomb irish vomiting prison  
Blue Chips (1994),drama college basketball athlete college sports  
Blue Sky (1994),drama romance military army military base daughter  
Body Snatchers (1993),horror sci-fi thriller alien remake of remake alien race alien contact  
Boxing Helena (1993),drama mystery romance thriller obsessive love captive woman unrequited love obsession  
"Bronx Tale, A (1993)",drama burnt body dying young car on fire bus ride  
Cabin Boy (1994),comedy stupidity ship stop motion animation profanity  
Calendar Girl (1993),comedy drama grauman's chinese theatre los angeles handcuffed man ciro's nightclub hollywood summer  
Carlito's Way (1993),crime drama mafia breasts female nudity go go dancer  
City Slickers II: The Legend of Curly's Gold (1994),adventure comedy western gold treasure sequel male bonding  
Clean Slate (1994),comedy voice over narration court investigation venice beach california  
Cliffhanger (1993),action adventure thriller cortina italy bill rope fraud  
Coneheads (1993),comedy sci-fi one word title spock character interspecies romance james t. kirk character  
Color of Night (1994),drama thriller lesbian kiss psychologist nymphomania sex in a swimming pool  
Cops and Robbersons (1994),comedy male rear nudity vampire costume detective dysfunctional family  
"Cowboy Way, The (1994)",action comedy drama cowboy buddy comedy reference to new mexico reference to arizona  
Dangerous Game (1993),drama film director filmmaker actor actress  
Dave (1993),comedy romance conspiracy doppelganger the white house president  
Dazed and Confused (1993),comedy hazing high school last day of school football  
Demolition Man (1993),action adventure sci-fi year 2032 totalitarianism censorship cyberpunk  
"Endless Summer 2, The (1994)",adventure documentary beach party surfing surfer four word title  
Even Cowgirls Get the Blues (1993),comedy romance hare krishna reference to krishna the hindu deity ranch cowgirl  
Fatal Instinct (1993),comedy blonde brunette bathtub adultery  
Farewell My Concubine (Ba wang bie ji) (1993),drama romance peking opera suicide homosexuality theater  
"Favor, The (1994)",comedy romance male objectification bare chested male hot sexy  
Fearless (1993),drama survivor guilt plane crash guilt grief  
Fear of a Black Hat (1994),comedy mockumentary los angeles california music industry fake documentary  
With Honors (1994),comedy drama harvard university homeless man college student friendship  
Flesh and Bone (1993),drama mystery romance murder of a child witness to murder father son relationship murder of a family  
Widows' Peak (1994),drama widow gossip feud spinster  
For Love or Money (1993),comedy romance hotel concierge mistress money  
"Firm, The (1993)",drama thriller oral sex seduction frame up washington monument washington d.c.  
Free Willy (1993),adventure children drama whale killer whale animal no opening credits  
Fresh (1994),crime drama thriller drugs urban setting african american drug dealing  
"Fugitive, The (1993)",thriller one armed man on the run u.s. marshal surgeon  
Geronimo: An American Legend (1993),drama western arizona territory apache territory chiricahua apache scout  
"Getaway, The (1994)",action adventure crime drama romance thriller manhunt fugitive neo noir one last job  
Getting Even with Dad (1994),comedy convict ex convict coin bakery  
Go Fish (1994),drama romance directorial debut all female crew african american black american  
"Good Man in Africa, A (1994)",action adventure based on novel independent film british diplomat female nudity  
Guilty as Sin (1993),crime drama thriller female stockinged feet foot closeup camera shot of feet pantyhose  
Hard Target (1993),action adventure crime thriller crime boss gangster organized crime mercenary  
Heaven & Earth (1993),action drama war domestic violence female protagonist vietnam war crime  
Hot Shots! Part Deux (1993),action comedy war male objectification ronald reagan character saddam hussein character richard m. nixon character  
Live Nude Girls (1995),comedy leg spreading breasts spanking lesbian kiss  
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",comedy romance topography welsh people scientific expedition welsh valleys  
"House of the Spirits, The (1993)",drama romance patriarch chilean coup d'etat oppression family saga  
House Party 3 (1994),comedy beach party teensploitation party house party  
"Hudsucker Proxy, The (1994)",comedy art deco reference to oklahoma the stage musical neo screwball comedy comics page  
I'll Do Anything (1994),comedy drama female nudity topless female nudity barefoot woman actor  
In the Army Now (1994),comedy war military u.s. military shaved head head shaving  
In the Line of Fire (1993),action thriller miniskirt second chance firearm assassin  
In the Name of the Father (1993),drama prison father son relationship based on true story anti irish bias  
"Inkwell, The (1994)",comedy drama fire vacation teenager marriage  
What's Love Got to Do with It? (1993),drama musical african american singer african american woman 1980s african american protagonist  
Jimmy Hollywood (1994),comedy crime drama reference to konstantin stanislavski vigilante actor reference to radio shack  
Judgment Night (1993),action crime thriller murder manhunt suspense boxing match  
Jurassic Park (1993),action adventure sci-fi thriller national film registry dinosaur tyrannosaurus rex theme park  
Kalifornia (1993),drama thriller journalist brutality shooting a policewoman hairy chest  
Killing Zoe (1994),crime drama thriller bank call girl kissing sex scene  
King of the Hill (1993),drama doorman epilepsy seizure kiss  
Lassie (1994),adventure children one word title human dog relationship animal character name as title dog  
Last Action Hero (1993),action adventure comedy fantasy year 1993 video store death character polonius character  
Life with Mikey (1993),comedy reference to astrology reference to a zodiac sign reference to scorpio the astrological sign reference to scorpio the constellation  
